emp_no;first_name;last_name;gender
110022;Margareta;Markovitch;M
110039;Vishwani;Minakawa;M
110085;Ebru;Alpin;M
110114;Isamu;Legleitner;F
110183;Shirish;Ossenbruggen;F
110228;Karsten;Sigstam;F
110303;Krassimir;Wegerle;F
110344;Rosine;Cools;F
110386;Shem;Kieras;M
110420;Oscar;Ghazalie;M
110511;DeForest;Hagimont;M
110567;Leon;DasSarma;F
110725;Peternela;Onuegbe;F
110765;Rutger;Hofmeyr;F
110800;Sanjoy;Quadeer;F
110854;Dung;Pesch;M
111035;Przemyslawa;Kaelbling;M
111133;Hauke;Zhang;M
111400;Arie;Staelin;M
111534;Hilary;Kambil;F
111692;Tonny;Butterworth;F
111784;Marjo;Giarratana;F
111877;Xiaobin;Spinelli;F
111939;Yuchang;Weedman;M
